kernel,in_ch,out_ch,stride,pad,height,width,time_ms,best_tc1,best_tc2
3,1,4,1,1,480,640,0.037847,8,16
3,4,8,2,1,480,640,0.0331571,4,64
3,8,8,1,1,240,320,0.0586957,4,32
3,8,24,2,1,240,320,0.015767,4,32
1,1,24,1,0,120,160,0.00156672,128,1
3,24,24,1,1,120,160,0.0406016,4,32
3,24,64,2,1,120,160,0.0112214,4,32
3,64,64,1,1,60,80,0.0275354,4,32
1,64,64,1,0,60,80,0.00440704,4,16
3,64,64,2,1,60,80,0.00790528,4,32
3,64,64,1,1,30,40,0.00792576,4,32
3,64,128,2,1,30,40,0.0030208,4,32
3,128,128,1,1,15,20,0.00470016,4,64
1,128,64,1,0,15,20,0.001792,4,32
1,64,1,1,0,60,80,0.00439296,4,16
1,64,65,1,0,60,80,0.00440096,4,16
